Month-year,CPI,Interest Rates,Exchange Rates,Product,Unit of Quantity,Production
13-Jan,8.1,10.61,110.7072,Petroleum,`000'   Litres,1079062
13-Feb,7.4,10.53,111.7072,Petroleum,`000'   Litres,"953,078"
13-Mar,6.6,10.46,112.7072,Petroleum,`000'   Litres,"1,093,134"
13-Apr,5.8,10.51,113.7072,Petroleum,`000'   Litres,"1,096,820"
13-May,5.1,10.65,114.7072,Petroleum,`000'   Litres,"997,959"
13-Jun,5.9,10.56,115.7072,Petroleum,`000'   Litres,"1,169,057"
13-Jul,8.3,10.2,116.7072,Petroleum,`000'   Litres,"1,126,683"
13-Aug,8.5,9.69,117.7072,Petroleum,`000'   Litres,"1,170,535"
13-Sep,7.4,9.7,118.7072,Petroleum,`000'   Litres,"1,034,551"
13-Oct,9.1,10.38,119.7072,Petroleum,`000'   Litres,"1,120,693"
13-Nov,10.9,10,120.7072,Petroleum,`000'   Litres,"1,092,414"
13-Dec,9.2,10.54,121.7072,Petroleum,`000'   Litres,"1,084,125"
14-Jan,7.9,11.02,122.7072,Petroleum,`000'   Litres,"1,079,062"
14-Feb,7.9,10.66,123.7072,Petroleum,`000'   Litres,"1,138,133"
14-Mar,8.5,10.53,124.7072,Petroleum,`000'   Litres,"1,150,274"
14-Apr,9.2,10.81,125.7072,Petroleum,`000'   Litres,"1,050,707"
14-May,8.3,10.59,126.7072,Petroleum,`000'   Litres,"1,197,222"
14-Jun,8.2,10.37,127.7072,Petroleum,`000'   Litres,"1,184,394"
14-Jul,7.9,10.38,128.7072,Petroleum,`000'   Litres,"1,183,432"
14-Aug,7,10.33,129.7072,Petroleum,`000'   Litres,"1,215,713"
14-Sep,7.7,10.3,130.7072,Petroleum,`000'   Litres,"1,150,517"
14-Oct,5.8,10.48,131.7072,Petroleum,`000'   Litres,"1,231,419"
14-Nov,4,10.41,132.7072,Petroleum,`000'   Litres,"1,056,976"
14-Dec,4.3,10.28,133.7072,Petroleum,`000'   Litres,"1,026,471"
15-Jan,3.9,10.35,134.7072,Petroleum,`000'   Litres,"1,132,284"
15-Feb,3.2,9.5,135.7072,Petroleum,`000'   Litres,"1,061,461"
15-Mar,2.5,9.31,136.7072,Petroleum,`000'   Litres,"1,259,397"
15-Apr,2.1,8.85,137.7072,Petroleum,`000'   Litres,"1,313,709"
15-May,3.2,8.61,138.7072,Petroleum,`000'   Litres,"1,315,330"
15-Jun,3.2,8.24,139.7072,Petroleum,`000'   Litres,"1,277,881"
15-Jul,1.9,7.88,140.7072,Petroleum,`000'   Litres,"1,214,228"
15-Aug,1.8,7.78,141.7072,Petroleum,`000'   Litres,"1,227,127"
15-Sep,1.3,7.78,142.7072,Petroleum,`000'   Litres,"1,282,515"
15-Oct,1.6,7.57,143.7072,Petroleum,`000'   Litres,"1,257,982"
15-Nov,2.7,7.32,144.7072,Petroleum,`000'   Litres,"1,172,804"
15-Dec,3.2,7.28,145.7072,Petroleum,`000'   Litres,"1,268,583"
16-Jan,3.3,7.15,146.7072,Petroleum,`000'   Litres,"1,094,291"
16-Feb,4,7.28,147.7072,Petroleum,`000'   Litres,"1,101,856"
16-Mar,3.9,7.13,148.7072,Petroleum,`000'   Litres,"1,143,615"
16-Apr,4.2,6.03,149.7072,Petroleum,`000'   Litres,"4,416,469"
16-May,3.2,7.07,150.7072,Petroleum,`000'   Litres,"1,060,590"
16-Jun,3.2,7.15,151.7072,Petroleum,`000'   Litres,"1,260,068"
16-Jul,4.1,6.95,152.7072,Petroleum,`000'   Litres,"1,231,715"
16-Aug,3.6,6.82,153.7072,Petroleum,`000'   Litres,"1,164,294"
16-Sep,3.9,6.9,154.7072,Petroleum,`000'   Litres,"1,264,765"
16-Oct,4.2,6.96,155.7072,Petroleum,`000'   Litres,"1,253,244"
16-Nov,3.8,6.84,156.7072,Petroleum,`000'   Litres,"1,218,785"
16-Dec,3.7,7,157.7072,Petroleum,`000'   Litres,"1,273,235"
17-Jan,3.7,7.09,158.7072,Petroleum,`000'   Litres,"1,136,981"
17-Feb,4.2,6.95,159.7072,Petroleum,`000'   Litres,"1,152,127"
17-Mar,4.9,6.93,160.7072,Petroleum,`000'   Litres,"1,116,744"
17-Apr,4.8,6.9,161.7072,Petroleum,`000'   Litres,"1,266,979"
17-May,5,6.93,162.7072,Petroleum,`000'   Litres,"1,300,057"
17-Jun,3.9,7.07,163.7072,Petroleum,`000'   Litres,"1,219,578"
17-Jul,2.9,7.03,164.7072,Petroleum,`000'   Litres,"1,287,031"
17-Aug,3.4,6.86,165.7072,Petroleum,`000'   Litres,"1,499,909"
17-Sep,3.9,6.92,166.7072,Petroleum,`000'   Litres,"1,372,508"
17-Oct,3.8,7.01,167.7072,Petroleum,`000'   Litres,"1,524,490"
17-Nov,4,7.07,168.7072,Petroleum,`000'   Litres,"1,185,875"
17-Dec,4.6,7.04,169.7072,Petroleum,`000'   Litres,"1,139,018"
